French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
